,Region,Period,TEMPER,Local Diagnostic Unique ID,30 Fabric Color,32 Exterior Clay Color,33 Interior Clay Color,value
0,1,1,1.0,38399,276.0,237.0,232.0,70.0
1,1,1,3.0,1780,11.0,11.0,11.0,3.0
2,1,1,6.0,10795,90.0,45.0,46.0,20.0
3,1,3,1.0,37114,348.0,338.0,347.0,93.0
4,1,3,2.0,90,7.0,3.0,1.0,1.0
5,1,3,6.0,3668,46.0,28.0,29.0,10.0
6,1,3,7.0,617,5.0,4.0,4.0,1.0
7,2,1,1.0,52322,406.0,359.0,382.0,106.0
8,2,1,2.0,512,2.0,3.0,4.0,1.0
9,2,1,3.0,466,1.0,3.0,4.0,1.0
10,2,1,4.0,448,5.0,1.0,2.0,1.0
11,2,1,6.0,12526,84.0,75.0,82.0,25.0
12,2,2,1.0,3756,57.0,55.0,50.0,14.0
13,2,2,6.0,530,6.0,2.0,2.0,2.0
14,2,2,7.0,270,3.0,3.0,2.0,1.0
15,2,3,1.0,44838,442.0,383.0,381.0,124.0
16,2,3,2.0,741,10.0,8.0,8.0,2.0
17,2,3,6.0,2295,25.0,20.0,22.0,5.0
18,2,3,7.0,842,3.0,2.0,7.0,1.0
19,3,1,1.0,27463,478.0,429.0,420.0,127.0
20,3,1,2.0,154,6.0,4.0,4.0,1.0
21,3,1,6.0,171,6.0,1.0,1.0,1.0
22,3,1,7.0,1483,6.0,11.0,7.0,2.0
23,3,2,1.0,31808,176.0,165.0,154.0,45.0
24,3,2,5.0,835,1.0,3.0,2.0,1.0
25,3,2,6.0,676,6.0,4.0,4.0,1.0
26,3,2,7.0,1695,7.0,14.0,8.0,3.0
27,3,3,1.0,35066,167.0,204.0,197.0,52.0
28,3,3,6.0,1785,11.0,10.0,12.0,3.0
29,3,3,7.0,1769,8.0,6.0,11.0,3.0
